File_name,R1_R2,Sample_name
11B_S101_L007_R1_001.fastq.gz,R1,11B_S101
11B_S101_L007_R2_001.fastq.gz,R2,11B_S101
11B_S101_L008_R1_001.fastq.gz,R1,11B_S101
11B_S101_L008_R2_001.fastq.gz,R2,11B_S101
11E_S95_L007_R1_001.fastq.gz,R1,11E_S95
11E_S95_L007_R2_001.fastq.gz,R2,11E_S95
11E_S95_L008_R1_001.fastq.gz,R1,11E_S95
11E_S95_L008_R2_001.fastq.gz,R2,11E_S95
12E_S96_L007_R1_001.fastq.gz,R1,12E_S96
12E_S96_L007_R2_001.fastq.gz,R2,12E_S96
12E_S96_L008_R1_001.fastq.gz,R1,12E_S96
12E_S96_L008_R2_001.fastq.gz,R2,12E_S96
14B_S102_L007_R1_001.fastq.gz,R1,14B_S102
14B_S102_L007_R2_001.fastq.gz,R2,14B_S102
14B_S102_L008_R1_001.fastq.gz,R1,14B_S102
14B_S102_L008_R2_001.fastq.gz,R2,14B_S102
17B_S103_L007_R1_001.fastq.gz,R1,17B_S103
17B_S103_L007_R2_001.fastq.gz,R2,17B_S103
17B_S103_L008_R1_001.fastq.gz,R1,17B_S103
17B_S103_L008_R2_001.fastq.gz,R2,17B_S103
18B_S104_L007_R1_001.fastq.gz,R1,18B_S104
18B_S104_L007_R2_001.fastq.gz,R2,18B_S104
18B_S104_L008_R1_001.fastq.gz,R1,18B_S104
18B_S104_L008_R2_001.fastq.gz,R2,18B_S104
2E_S94_L007_R1_001.fastq.gz,R1,2E_S94
2E_S94_L007_R2_001.fastq.gz,R2,2E_S94
2E_S94_L008_R1_001.fastq.gz,R1,2E_S94
2E_S94_L008_R2_001.fastq.gz,R2,2E_S94
3B_S97_L007_R1_001.fastq.gz,R1,3B_S97
3B_S97_L007_R2_001.fastq.gz,R2,3B_S97
3B_S97_L008_R1_001.fastq.gz,R1,3B_S97
3B_S97_L008_R2_001.fastq.gz,R2,3B_S97
45B_S105_L007_R1_001.fastq.gz,R1,45B_S105
45B_S105_L007_R2_001.fastq.gz,R2,45B_S105
45B_S105_L008_R1_001.fastq.gz,R1,45B_S105
45B_S105_L008_R2_001.fastq.gz,R2,45B_S105
48B_S106_L007_R1_001.fastq.gz,R1,48B_S106
48B_S106_L007_R2_001.fastq.gz,R2,48B_S106
48B_S106_L008_R1_001.fastq.gz,R1,48B_S106
48B_S106_L008_R2_001.fastq.gz,R2,48B_S106
50B_S107_L007_R1_001.fastq.gz,R1,50B_S107
50B_S107_L007_R2_001.fastq.gz,R2,50B_S107
50B_S107_L008_R1_001.fastq.gz,R1,50B_S107
50B_S107_L008_R2_001.fastq.gz,R2,50B_S107
51B_S108_L007_R1_001.fastq.gz,R1,51B_S108
51B_S108_L007_R2_001.fastq.gz,R2,51B_S108
51B_S108_L008_R1_001.fastq.gz,R1,51B_S108
51B_S108_L008_R2_001.fastq.gz,R2,51B_S108
53B_S109_L007_R1_001.fastq.gz,R1,53B_S109
53B_S109_L007_R2_001.fastq.gz,R2,53B_S109
53B_S109_L008_R1_001.fastq.gz,R1,53B_S109
53B_S109_L008_R2_001.fastq.gz,R2,53B_S109
56B_S110_L007_R1_001.fastq.gz,R1,56B_S110
56B_S110_L007_R2_001.fastq.gz,R2,56B_S110
56B_S110_L008_R1_001.fastq.gz,R1,56B_S110
56B_S110_L008_R2_001.fastq.gz,R2,56B_S110
59B_S111_L007_R1_001.fastq.gz,R1,59B_S111
59B_S111_L007_R2_001.fastq.gz,R2,59B_S111
59B_S111_L008_R1_001.fastq.gz,R1,59B_S111
59B_S111_L008_R2_001.fastq.gz,R2,59B_S111
60B_S112_L007_R1_001.fastq.gz,R1,60B_S112
60B_S112_L007_R2_001.fastq.gz,R2,60B_S112
60B_S112_L008_R1_001.fastq.gz,R1,60B_S112
60B_S112_L008_R2_001.fastq.gz,R2,60B_S112
6B_S98_L007_R1_001.fastq.gz,R1,6B_S98
6B_S98_L007_R2_001.fastq.gz,R2,6B_S98
6B_S98_L008_R1_001.fastq.gz,R1,6B_S98
6B_S98_L008_R2_001.fastq.gz,R2,6B_S98
8B_S99_L007_R1_001.fastq.gz,R1,8B_S99
8B_S99_L007_R2_001.fastq.gz,R2,8B_S99
8B_S99_L008_R1_001.fastq.gz,R1,8B_S99
8B_S99_L008_R2_001.fastq.gz,R2,8B_S99
9B_S100_L007_R1_001.fastq.gz,R1,9B_S100
9B_S100_L007_R2_001.fastq.gz,R2,9B_S100
9B_S100_L008_R1_001.fastq.gz,R1,9B_S100
9B_S100_L008_R2_001.fastq.gz,R2,9B_S100
